======================================================================
QR Code Generation Script
======================================================================
Total products to generate: 1000
API endpoint: http://localhost:8000/generate_qr_cdp
Batch size: 10
======================================================================

✅ API server is reachable

Starting generation with 10 concurrent requests...

✅ [51/1000] Generated: PRODUCT000050
✅ [61/1000] Generated: PRODUCT000060
✅ [1/1000] Generated: PRODUCT000000
✅ [31/1000] Generated: PRODUCT000030
✅ [71/1000] Generated: PRODUCT000070
✅ [91/1000] Generated: PRODUCT000090
✅ [41/1000] Generated: PRODUCT000040
✅ [11/1000] Generated: PRODUCT000010
✅ [81/1000] Generated: PRODUCT000080
✅ [21/1000] Generated: PRODUCT000020
✅ [52/1000] Generated: PRODUCT000051
✅ [62/1000] Generated: PRODUCT000061
✅ [2/1000] Generated: PRODUCT000001
✅ [32/1000] Generated: PRODUCT000031
✅ [22/1000] Generated: PRODUCT000021
✅ [72/1000] Generated: PRODUCT000071
✅ [92/1000] Generated: PRODUCT000091
✅ [12/1000] Generated: PRODUCT000011
✅ [82/1000] Generated: PRODUCT000081
✅ [42/1000] Generated: PRODUCT000041
✅ [53/1000] Generated: PRODUCT000052
✅ [63/1000] Generated: PRODUCT000062
✅ [3/1000] Generated: PRODUCT000002
✅ [23/1000] Generated: PRODUCT000022
✅ [43/1000] Generated: PRODUCT000042
✅ [13/1000] Generated: PRODUCT000012
✅ [33/1000] Generated: PRODUCT000032
✅ [93/1000] Generated: PRODUCT000092
✅ [54/1000] Generated: PRODUCT000053
✅ [83/1000] Generated: PRODUCT000082
✅ [73/1000] Generated: PRODUCT000072
✅ [64/1000] Generated: PRODUCT000063
✅ [4/1000] Generated: PRODUCT000003
✅ [24/1000] Generated: PRODUCT000023
✅ [44/1000] Generated: PRODUCT000043
✅ [94/1000] Generated: PRODUCT000093
✅ [84/1000] Generated: PRODUCT000083
✅ [34/1000] Generated: PRODUCT000033
✅ [14/1000] Generated: PRODUCT000013
✅ [55/1000] Generated: PRODUCT000054
✅ [74/1000] Generated: PRODUCT000073
✅ [65/1000] Generated: PRODUCT000064
✅ [15/1000] Generated: PRODUCT000014
✅ [5/1000] Generated: PRODUCT000004
✅ [45/1000] Generated: PRODUCT000044
✅ [56/1000] Generated: PRODUCT000055
✅ [85/1000] Generated: PRODUCT000084
✅ [25/1000] Generated: PRODUCT000024
✅ [95/1000] Generated: PRODUCT000094
✅ [75/1000] Generated: PRODUCT000074
✅ [66/1000] Generated: PRODUCT000065
✅ [35/1000] Generated: PRODUCT000034
✅ [57/1000] Generated: PRODUCT000056
✅ [36/1000] Generated: PRODUCT000035
✅ [16/1000] Generated: PRODUCT000015
✅ [96/1000] Generated: PRODUCT000095
✅ [6/1000] Generated: PRODUCT000005
✅ [86/1000] Generated: PRODUCT000085
✅ [26/1000] Generated: PRODUCT000025
✅ [67/1000] Generated: PRODUCT000066
✅ [46/1000] Generated: PRODUCT000045
✅ [76/1000] Generated: PRODUCT000075
✅ [58/1000] Generated: PRODUCT000057
✅ [37/1000] Generated: PRODUCT000036
✅ [7/1000] Generated: PRODUCT000006
✅ [77/1000] Generated: PRODUCT000076
✅ [17/1000] Generated: PRODUCT000016
✅ [97/1000] Generated: PRODUCT000096
✅ [87/1000] Generated: PRODUCT000086
✅ [27/1000] Generated: PRODUCT000026
✅ [68/1000] Generated: PRODUCT000067
✅ [47/1000] Generated: PRODUCT000046
✅ [59/1000] Generated: PRODUCT000058
✅ [8/1000] Generated: PRODUCT000007
✅ [48/1000] Generated: PRODUCT000047
✅ [38/1000] Generated: PRODUCT000037
✅ [78/1000] Generated: PRODUCT000077
✅ [88/1000] Generated: PRODUCT000087
✅ [28/1000] Generated: PRODUCT000027
✅ [98/1000] Generated: PRODUCT000097
✅ [69/1000] Generated: PRODUCT000068
✅ [60/1000] Generated: PRODUCT000059
✅ [18/1000] Generated: PRODUCT000017
✅ [9/1000] Generated: PRODUCT000008
✅ [49/1000] Generated: PRODUCT000048
✅ [29/1000] Generated: PRODUCT000028
✅ [79/1000] Generated: PRODUCT000078
✅ [39/1000] Generated: PRODUCT000038
✅ [101/1000] Generated: PRODUCT000100
✅ [99/1000] Generated: PRODUCT000098
✅ [89/1000] Generated: PRODUCT000088
✅ [19/1000] Generated: PRODUCT000018
✅ [70/1000] Generated: PRODUCT000069
✅ [50/1000] Generated: PRODUCT000049
✅ [10/1000] Generated: PRODUCT000009
✅ [100/1000] Generated: PRODUCT000099
✅ [102/1000] Generated: PRODUCT000101
✅ [80/1000] Generated: PRODUCT000079
✅ [30/1000] Generated: PRODUCT000029
✅ [111/1000] Generated: PRODUCT000110
✅ [20/1000] Generated: PRODUCT000019
✅ [40/1000] Generated: PRODUCT000039
✅ [90/1000] Generated: PRODUCT000089
✅ [141/1000] Generated: PRODUCT000140
✅ [121/1000] Generated: PRODUCT000120
✅ [131/1000] Generated: PRODUCT000130
✅ [151/1000] Generated: PRODUCT000150
✅ [112/1000] Generated: PRODUCT000111
✅ [161/1000] Generated: PRODUCT000160
✅ [171/1000] Generated: PRODUCT000170
✅ [181/1000] Generated: PRODUCT000180
✅ [103/1000] Generated: PRODUCT000102
✅ [191/1000] Generated: PRODUCT000190
✅ [132/1000] Generated: PRODUCT000131
✅ [122/1000] Generated: PRODUCT000121
✅ [142/1000] Generated: PRODUCT000141
✅ [152/1000] Generated: PRODUCT000151
✅ [162/1000] Generated: PRODUCT000161
✅ [172/1000] Generated: PRODUCT000171
✅ [113/1000] Generated: PRODUCT000112
✅ [182/1000] Generated: PRODUCT000181
✅ [104/1000] Generated: PRODUCT000103
✅ [133/1000] Generated: PRODUCT000132
✅ [143/1000] Generated: PRODUCT000142
✅ [173/1000] Generated: PRODUCT000172
✅ [192/1000] Generated: PRODUCT000191
✅ [123/1000] Generated: PRODUCT000122
✅ [163/1000] Generated: PRODUCT000162
✅ [153/1000] Generated: PRODUCT000152
✅ [183/1000] Generated: PRODUCT000182
✅ [114/1000] Generated: PRODUCT000113
✅ [105/1000] Generated: PRODUCT000104
✅ [134/1000] Generated: PRODUCT000133
✅ [164/1000] Generated: PRODUCT000163
✅ [144/1000] Generated: PRODUCT000143
✅ [154/1000] Generated: PRODUCT000153
✅ [193/1000] Generated: PRODUCT000192
✅ [174/1000] Generated: PRODUCT000173
✅ [124/1000] Generated: PRODUCT000123
✅ [184/1000] Generated: PRODUCT000183
✅ [115/1000] Generated: PRODUCT000114
✅ [106/1000] Generated: PRODUCT000105
✅ [135/1000] Generated: PRODUCT000134
✅ [194/1000] Generated: PRODUCT000193
✅ [145/1000] Generated: PRODUCT000144
✅ [175/1000] Generated: PRODUCT000174
✅ [155/1000] Generated: PRODUCT000154
✅ [125/1000] Generated: PRODUCT000124
✅ [165/1000] Generated: PRODUCT000164
✅ [116/1000] Generated: PRODUCT000115
✅ [185/1000] Generated: PRODUCT000184
✅ [136/1000] Generated: PRODUCT000135
✅ [107/1000] Generated: PRODUCT000106
✅ [146/1000] Generated: PRODUCT000145
✅ [195/1000] Generated: PRODUCT000194
✅ [166/1000] Generated: PRODUCT000165
✅ [176/1000] Generated: PRODUCT000175
✅ [117/1000] Generated: PRODUCT000116
✅ [126/1000] Generated: PRODUCT000125
✅ [156/1000] Generated: PRODUCT000155
✅ [186/1000] Generated: PRODUCT000185
✅ [137/1000] Generated: PRODUCT000136
✅ [108/1000] Generated: PRODUCT000107
✅ [157/1000] Generated: PRODUCT000156
✅ [187/1000] Generated: PRODUCT000186
✅ [196/1000] Generated: PRODUCT000195
✅ [177/1000] Generated: PRODUCT000176
✅ [147/1000] Generated: PRODUCT000146
✅ [127/1000] Generated: PRODUCT000126
✅ [109/1000] Generated: PRODUCT000108
✅ [167/1000] Generated: PRODUCT000166
✅ [118/1000] Generated: PRODUCT000117
✅ [138/1000] Generated: PRODUCT000137
✅ [197/1000] Generated: PRODUCT000196
✅ [178/1000] Generated: PRODUCT000177
✅ [158/1000] Generated: PRODUCT000157
✅ [139/1000] Generated: PRODUCT000138
✅ [188/1000] Generated: PRODUCT000187
✅ [110/1000] Generated: PRODUCT000109
✅ [168/1000] Generated: PRODUCT000167
✅ [119/1000] Generated: PRODUCT000118
✅ [148/1000] Generated: PRODUCT000147
✅ [128/1000] Generated: PRODUCT000127
✅ [159/1000] Generated: PRODUCT000158
✅ [140/1000] Generated: PRODUCT000139
✅ [129/1000] Generated: PRODUCT000128
✅ [189/1000] Generated: PRODUCT000188
✅ [179/1000] Generated: PRODUCT000178
✅ [198/1000] Generated: PRODUCT000197
✅ [169/1000] Generated: PRODUCT000168
✅ [120/1000] Generated: PRODUCT000119
✅ [201/1000] Generated: PRODUCT000200
✅ [149/1000] Generated: PRODUCT000148
✅ [180/1000] Generated: PRODUCT000179
✅ [211/1000] Generated: PRODUCT000210
✅ [160/1000] Generated: PRODUCT000159
✅ [130/1000] Generated: PRODUCT000129
✅ [150/1000] Generated: PRODUCT000149
✅ [202/1000] Generated: PRODUCT000201
✅ [190/1000] Generated: PRODUCT000189
✅ [170/1000] Generated: PRODUCT000169
✅ [199/1000] Generated: PRODUCT000198
✅ [221/1000] Generated: PRODUCT000220
✅ [261/1000] Generated: PRODUCT000260
✅ [203/1000] Generated: PRODUCT000202
✅ [271/1000] Generated: PRODUCT000270
✅ [212/1000] Generated: PRODUCT000211
✅ [241/1000] Generated: PRODUCT000240
✅ [222/1000] Generated: PRODUCT000221
✅ [251/1000] Generated: PRODUCT000250
✅ [281/1000] Generated: PRODUCT000280
✅ [200/1000] Generated: PRODUCT000199
✅ [231/1000] Generated: PRODUCT000230
✅ [213/1000] Generated: PRODUCT000212
✅ [262/1000] Generated: PRODUCT000261
✅ [232/1000] Generated: PRODUCT000231
✅ [204/1000] Generated: PRODUCT000203
✅ [242/1000] Generated: PRODUCT000241
✅ [282/1000] Generated: PRODUCT000281
✅ [252/1000] Generated: PRODUCT000251
✅ [223/1000] Generated: PRODUCT000222
✅ [272/1000] Generated: PRODUCT000271
✅ [291/1000] Generated: PRODUCT000290
✅ [214/1000] Generated: PRODUCT000213
✅ [233/1000] Generated: PRODUCT000232
✅ [263/1000] Generated: PRODUCT000262
✅ [253/1000] Generated: PRODUCT000252
✅ [224/1000] Generated: PRODUCT000223
✅ [205/1000] Generated: PRODUCT000204
✅ [292/1000] Generated: PRODUCT000291
✅ [273/1000] Generated: PRODUCT000272
✅ [283/1000] Generated: PRODUCT000282
✅ [243/1000] Generated: PRODUCT000242
✅ [215/1000] Generated: PRODUCT000214
✅ [234/1000] Generated: PRODUCT000233
✅ [284/1000] Generated: PRODUCT000283
✅ [225/1000] Generated: PRODUCT000224
✅ [274/1000] Generated: PRODUCT000273
✅ [264/1000] Generated: PRODUCT000263
✅ [254/1000] Generated: PRODUCT000253
✅ [293/1000] Generated: PRODUCT000292
✅ [206/1000] Generated: PRODUCT000205
✅ [244/1000] Generated: PRODUCT000243
✅ [216/1000] Generated: PRODUCT000215
✅ [235/1000] Generated: PRODUCT000234
✅ [275/1000] Generated: PRODUCT000274
✅ [255/1000] Generated: PRODUCT000254
✅ [207/1000] Generated: PRODUCT000206
✅ [226/1000] Generated: PRODUCT000225
✅ [265/1000] Generated: PRODUCT000264
✅ [245/1000] Generated: PRODUCT000244
✅ [285/1000] Generated: PRODUCT000284
✅ [294/1000] Generated: PRODUCT000293
✅ [217/1000] Generated: PRODUCT000216
✅ [236/1000] Generated: PRODUCT000235
✅ [208/1000] Generated: PRODUCT000207
✅ [246/1000] Generated: PRODUCT000245
✅ [295/1000] Generated: PRODUCT000294
✅ [227/1000] Generated: PRODUCT000226
✅ [266/1000] Generated: PRODUCT000265
✅ [256/1000] Generated: PRODUCT000255
✅ [286/1000] Generated: PRODUCT000285
✅ [276/1000] Generated: PRODUCT000275
✅ [218/1000] Generated: PRODUCT000217
✅ [209/1000] Generated: PRODUCT000208
✅ [247/1000] Generated: PRODUCT000246
✅ [237/1000] Generated: PRODUCT000236
✅ [277/1000] Generated: PRODUCT000276
✅ [287/1000] Generated: PRODUCT000286
✅ [296/1000] Generated: PRODUCT000295
✅ [267/1000] Generated: PRODUCT000266
✅ [228/1000] Generated: PRODUCT000227
✅ [257/1000] Generated: PRODUCT000256
✅ [219/1000] Generated: PRODUCT000218
✅ [210/1000] Generated: PRODUCT000209
✅ [248/1000] Generated: PRODUCT000247
✅ [297/1000] Generated: PRODUCT000296
✅ [258/1000] Generated: PRODUCT000257
✅ [238/1000] Generated: PRODUCT000237
✅ [220/1000] Generated: PRODUCT000219
✅ [288/1000] Generated: PRODUCT000287
✅ [268/1000] Generated: PRODUCT000267
✅ [229/1000] Generated: PRODUCT000228
✅ [278/1000] Generated: PRODUCT000277
✅ [301/1000] Generated: PRODUCT000300
✅ [249/1000] Generated: PRODUCT000248
✅ [298/1000] Generated: PRODUCT000297
✅ [259/1000] Generated: PRODUCT000258
✅ [289/1000] Generated: PRODUCT000288
✅ [239/1000] Generated: PRODUCT000238
✅ [279/1000] Generated: PRODUCT000278
✅ [269/1000] Generated: PRODUCT000268
✅ [230/1000] Generated: PRODUCT000229
✅ [311/1000] Generated: PRODUCT000310
✅ [250/1000] Generated: PRODUCT000249
✅ [302/1000] Generated: PRODUCT000301
